;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
19,04,1,03DD
19,05,0,03DE
19,05,1,03DF
19,06,0,03E0
19,06,1,03E1
19,07,0,03E2
19,07,1,03E3
19,08,0,03E4
19,08,1,03E5
19,09,0,03E6
19,09,1,03E7
19,0A,0,03E8
19,0A,1,03E9
19,0B,0,03EA
19,0B,1,03EB
19,0C,0,03EC
19,0C,1,03ED
19,0D,0,03EE
19,0D,1,03EF
19,0E,0,03F0
19,0E,1,03F1
19,0F,0,03F2
19,0F,1,03F3
19,10,0,03F4
19,10,1,03F5
19,11,0,03F6
19,11,1,03F7
1A,00,0,03F8
1A,00,1,03F9
1A,01,0,03FA
1A,01,1,03FB
1A,02,0,03FC
1A,02,1,03FD
1A,03,0,03FE
1A,03,1,03FF
1A,04,0,0400
1A,04,1,0401
1A,05,0,0402
1A,05,1,0403
1A,06,0,0404
1A,06,1,0405
1A,07,0,0406
1A,07,1,0407
1A,08,0,0408
1A,08,1,0409
1A,09,0,040A
1A,09,1,040B
1A,0A,0,040C
1A,0A,1,040D
1A,0B,0,040E
1A,0B,1,040F
1A,0C,0,0410
1A,0C,1,0411
1A,0D,0,0412
1A,0D,1,0413
1A,0E,0,0414
1A,0E,1,0415
1A,0F,0,0416
1A,0F,1,0417
1A,10,0,0418
1A,10,1,0419
1A,11,0,041A
1A,11,1,041B
1B,00,0,041C
1B,00,1,041D
1B,01,0,041E
1B,01,1,041F
1B,02,0,0420
1B,02,1,0421
1B,03,0,0422
1B,03,1,0423
1B,04,0,0424
1B,04,1,0425
1B,05,0,0426
1B,05,1,0427
1B,06,0,0428
1B,06,1,0429
1B,07,0,042A
1B,07,1,042B
1B,08,0,042C
1B,08,1,042D
1B,09,0,042E
1B,09,1,042F
1B,0A,0,0430
1B,0A,1,0431
1B,0B,0,0432
1B,0B,1,0433
1B,0C,0,0434
1B,0C,1,0435
1B,0D,0,0436
1B,0D,1,0437
1B,0E,0,0438
1B,0E,1,0439
1B,0F,0,043A
1B,0F,1,043B
1B,10,0,043C
1B,10,1,043D
1B,11,0,043E
1B,11,1,043F
1C,00,0,0440
1C,00,1,0441
1C,01,0,0442
1C,01,1,0443
1C,02,0,0444
1C,02,1,0445
1C,03,0,0446
1C,03,1,0447
1C,04,0,0448
1C,04,1,0449
1C,05,0,044A
1C,05,1,044B
1C,06,0,044C
1C,06,1,044D
1C,07,0,044E
1C,07,1,044F
1C,08,0,0450
1C,08,1,0451
1C,09,0,0452
1C,09,1,0453
1C,0A,0,0454
1C,0A,1,0455
1C,0B,0,0456
1C,0B,1,0457
1C,0C,0,0458
1C,0C,1,0459
1C,0D,0,045A
1C,0D,1,045B
1C,0E,0,045C
1C,0E,1,045D
1C,0F,0,045E
1C,0F,1,045F
1C,10,0,0460
1C,10,1,0461
1C,11,0,0462
1C,11,1,0463
1D,00,0,0464
1D,00,1,0465
1D,01,0,0466
1D,01,1,0467
1D,02,0,0468
1D,02,1,0469
1D,03,0,046A
1D,03,1,046B
1D,04,0,046C
1D,04,1,046D
